Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/admin/auth/session,42,3,290.0,4575.100688095387,46.58870000275783,60082.30880001793,262.35714285714283,0.31260179932321475,0.022328699951658194,310,340,370,420,690,60000,60000,60000,60000,60000,60000
GET,GET /api/admin/forms/queue/diagnostics,37,37,85,1712.5180891889613,35.45429999940097,60033.10499998042,26.16216216216216,0.2753872994037844,0.2753872994037844,85,110,120,120,140,290,60000,60000,60000,60000,60000
GET,GET /api/admin/projects,39,2,340.0,3406.5854205117107,47.250700008589774,60060.95179999829,473.8974358974359,0.29027309937155654,0.01488579996777213,340,420,460,470,730,60000,60000,60000,60000,60000,60000
GET,GET /api/health/ready,19,19,100.0,6414.8126368404755,43.16229998948984,60046.14650001167,38.21052631578947,0.14141509969383523,0.14141509969383523,100,120,150,150,60000,60000,60000,60000,60000,60000,60000
GET,GET /api/transport/auth/session,18,3,270.0,10251.337566670069,142.68050002283417,60049.75580002065,121.83333333333333,0.13397219970994917,0.022328699951658194,290,340,570,710,60000,60000,60000,60000,60000,60000,60000
GET,GET /api/transport/dashboard,15,0,460.0,453.7626866678086,324.61229999898933,554.8750000016298,1046.0,0.11164349975829098,0.0,460,470,490,500,500,550,550,550,550,550,550
GET,GET /api/transport/projects,15,1,390.0,4395.378706666331,273.72500000637956,60064.21340000816,469.06666666666666,0.11164349975829098,0.007442899983886065,390,490,580,580,660,60000,60000,60000,60000,60000,60000
GET,GET /api/web/auth/status,68,2,230.0,2015.7935602953385,55.61100001796149,60032.97850000672,108.94117647058823,0.5061171989042524,0.01488579996777213,230,300,360,370,460,630,60000,60000,60000,60000,60000
GET,GET /api/web/check/locations,34,0,310.0,328.92437352925566,126.37369998265058,569.4120999833103,175.0,0.2530585994521262,0.0,320,360,400,410,430,540,570,570,570,570,570
GET,GET /api/web/check/state,64,2,410.0,2304.839703126163,111.87570000765845,60095.931199990446,210.9375,0.47634559896870815,0.01488579996777213,410,480,510,520,730,790,60000,60000,60000,60000,60000
GET,GET /api/web/projects,54,1,240.0,1345.1964814804442,61.76529999356717,60058.68209997425,484.18518518518516,0.4019165991298475,0.007442899983886065,240,280,310,310,420,460,560,60000,60000,60000,60000
GET,GET /checking/user,133,25,310.0,11520.4718338323,52.1071000257507,60203.338799998164,19845.293233082706,0.9899056978568467,0.18607249959715164,310,380,430,620,60000,60000,60000,60000,60000,60000,60000
POST,POST /api/admin/auth/login,4,0,520.0,1021.9123749993742,511.75800000783056,1564.948799990816,52.0,0.02977159993554426,0.0,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600,1600
POST,POST /api/transport/auth/verify,2,0,1119.324900006177,1327.9809999949066,1119.324900006177,1536.6370999836363,134.0,0.01488579996777213,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
POST,POST /api/web/auth/login,18,0,1500.0,1315.5726166636061,498.1353000039235,1857.3292999935802,88.0,0.13397219970994917,0.0,1500,1500,1600,1700,1800,1900,1900,1900,1900,1900,1900
POST,POST /api/web/auth/register-user,18,0,1400.0,1354.5953111121587,478.30529999919236,2135.4486999916844,96.0,0.13397219970994917,0.0,1600,1700,1800,1900,2000,2100,2100,2100,2100,2100,2100
POST,POST /api/web/check,43,3,720.0,4854.806927908591,308.04210001952015,60089.25879999879,390.3953488372093,0.3200446993071008,0.022328699951658194,720,810,820,860,980,60000,60000,60000,60000,60000,60000
POST,POST /api/web/check/location,34,3,600.0,6037.590285292347,278.52039999561384,60106.033000018215,264.44117647058823,0.2530585994521262,0.022328699951658194,840,1100,1200,1400,1700,60000,60000,60000,60000,60000,60000
,Aggregated,657,101,350.0,4774.716536224885,35.45429999940097,60203.338799998164,4228.474885844749,4.889985289413144,0.7517328983724926,350,440,540,620,1600,60000,60000,60000,60000,60000,60000
